id,date,merchant_id,partner_id,status,amount,currency,payment_type_id,device,os,browser,discount
1,26/11/21,mid_54,pid_425,0,"29,95",USD,17,Mobile Phone,Android,Chrome/96,
2,27/11/21,mid_54,pid_4,0,"29,95",USD,17,Desktop,Win10,Firefox/94,
3,28/11/21,mid_54,pid_4,0,"29,95",USD,17,Mobile Device,iOS,Safari/14,
4,29/11/21,mid_54,pid_435,0,"29,95",USD,17,Desktop,Linux,Chrome/95,
5,30/11/21,mid_55,pid_3,0,"0,86",EUR,2,Mobile Phone,Android,Chrome/96,
6,27/11/21,mid_54,pid_4,0,"29,95",USD,17,Desktop,Win10,Edge/96,
7,29/11/21,mid_52,pid_3,0,"22,95",EUR,1,Mobile Phone,Android,Firefox/94,
8,28/11/21,mid_68,pid_3,0,"9,99",USD,2,Mobile Phone,Android,Chrome/96,
9,26/11/21,mid_54,pid_256,0,"29,95",USD,17,Desktop,Win10,Opera/0,
10,30/11/21,mid_68,pid_3,0,"9,99",USD,2,Mobile Phone,Android,Chrome/96,
11,29/11/21,mid_55,pid_3,0,1,EUR,2,Desktop,Win10,Chrome/96,
12,27/11/21,mid_54,pid_242,0,"29,95",USD,17,Mobile Phone,Android,Chrome/87,
13,28/11/21,mid_52,pid_3,0,"30,95",EUR,2,Desktop,MacOSX,Chrome/87,
14,26/11/21,mid_57,pid_4,0,"29,95",USD,17,Desktop,macOS,Firefox/91,
15,30/11/21,mid_51,pid_4,0,"30,86",EUR,1,Desktop,Win7,Firefox/94,
16,28/11/21,mid_51,pid_4,0,"39,95",USD,1,Mobile Device,iOS,Chrome/96,
17,26/11/21,mid_68,pid_3,0,"9,99",USD,2,Mobile Device,iOS,Safari/14,
18,27/11/21,mid_71,pid_3,0,"9,99",USD,1,Desktop,Win10,Chrome/96,
19,29/11/21,mid_68,pid_3,1,"8,83",EUR,2,Desktop,Win7,Firefox/94,
20,30/11/21,mid_68,pid_3,0,"9,96",USD,2,Mobile Phone,Android,Chrome/96,
